time,open,high,low,close,Plot,Plot.1,Plot.2,Plot.3,Volume,RelVolStDev,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),Plot.4,CVO Histogram,CVO Line,Signal Line,Upper Dev,Lower Dev
1973-01-05 09:30:00-05:00,0.430562,0.430562,0.430562,0.430562,0.4332573014466799,0.438753,,,475172,0.0,-3455656,-3455656,-3930828,-3930828,-2501658.769230769,,,,,
1973-01-08 09:30:00-05:00,0.509267,0.509267,0.509267,0.509267,0.4501483455696399,0.4488264285714286,,,494072,0.0,-3930828,-3930828,-4424900,-4424900,-2639033.1428571427,,,,,
1973-01-09 09:30:00-05:00,0.550934,0.550934,0.550934,0.550934,0.4725451576652755,0.463413224489796,,,674972,0.0,-4424900,-4424900,-5099872,-5099872,-2803089.066666667,,,,,
1973-01-10 09:30:00-05:00,0.546304,0.546304,0.546304,0.546304,0.4889360115174365,0.4752547638483965,,,826168,0.0,-5099872,-5099872,-5926040,-5926040,-2998273.5,,,,,
1973-01-11 09:30:00-05:00,0.583342,0.583342,0.583342,0.583342,0.5099151200691173,0.4906957975843399,,,548072,0.0,-5926040,-5926040,-6474112,-6474112,-3202734.588235294,,,,,
1973-01-12 09:30:00-05:00,0.592601,0.592601,0.592601,0.592601,0.5282897600537579,0.5052536836437199,,,950368,0.0,-6474112,-6474112,-7424480,-7424480,-3437276.0,,,,,
1973-01-15 09:30:00-05:00,0.574083,0.574083,0.574083,0.574083,0.5384660355973673,0.5150864431231885,,,305072,0.0,-7424480,-7424480,-7729552,-7729552,-3663185.263157895,,,,,
1973-01-16 09:30:00-05:00,0.574083,0.574083,0.574083,0.574083,0.5463809165757301,0.5235145226770187,,,699272,0.0,-7729552,-7729552,-8428824,-8428824,-3901467.2,,,,,
1973-01-17 09:30:00-05:00,0.583342,0.583342,0.583342,0.583342,0.5545944906700123,0.5320613051517303,,,170072,0.0,-8428824,-8428824,-8598896,-8598896,-4125154.285714286,,,,,
1973-01-18 09:30:00-05:00,0.578712,0.578712,0.578712,0.578712,0.5599539371877874,0.5387256901300546,,,248372,0.0,-8598896,-8598896,-8847268,-8847268,-4339795.818181818,640280.0401583654,640280.0401583654,,,
1973-01-19 09:30:00-05:00,0.564823,0.564823,0.564823,0.564823,0.5610359511460569,0.5424538772543325,,,388772,0.0,-8847268,-8847268,-9236040,-9236040,-4552676.0,556277.70703996,556277.70703996,,,
1973-01-22 09:30:00-05:00,0.527786,0.527786,0.527786,0.527786,0.5536470731135997,0.5403584662179992,,,329372,0.0,-9236040,-9236040,-9565412,-9565412,-4761540.0,442393.3158039166,442393.3158039166,,,
1973-01-23 09:30:00-05:00,0.527786,0.527786,0.527786,0.527786,0.5479001679772443,0.5385623996154278,,,310472,0.0,-9565412,-9565412,-9875884,-9875884,-4966113.76,352931.76006522094,352931.76006522094,,,
1973-01-24 09:30:00-05:00,0.527786,0.527786,0.527786,0.527786,0.54343035287119,0.537022913956081,,,156572,0.0,-9875884,-9875884,-10032456,-10032456,-5160973.076923077,282546.1800466438,282546.1800466438,,,
1973-01-26 09:30:00-05:00,0.518526,0.518526,0.518526,0.518526,0.5378960522331478,0.5343804976766409,,,299672,0.0,-10032456,-10032456,-10332128,-10332128,-5352497.333333333,187719.725891152,187719.725891152,,,
1973-01-29 09:30:00-05:00,0.541675,0.541675,0.541675,0.541675,0.5387358184035594,0.5354225694371207,,,280772,0.0,-10332128,-10332128,-10612900,-10612900,-5540368.857142857,153747.45071270014,153747.45071270014,,,
1973-01-30 09:30:00-05:00,0.555564,0.555564,0.555564,0.555564,0.5424754143138796,0.5382999166603892,,,175472,0.0,-10612900,-10612900,-10788372,-10788372,-5721334.482758621,149662.4187539423,149662.4187539423,,,
1973-01-31 09:30:00-05:00,0.578712,0.578712,0.578712,0.578712,0.5505279889107952,0.5440730714231907,,,404972,0.0,-10788372,-10788372,-11193344,-11193344,-5903734.8,196928.670525448,196928.670525448,,,
1973-02-01 09:30:00-05:00,0.578712,0.578712,0.578712,0.578712,0.556791102486174,0.5490214897913064,,,210572,0.0,-11193344,-11193344,-11403916,-11403916,-6081160.0,226370.89560579648,226370.89560579648,,,
1973-02-02 09:30:00-05:00,0.574083,0.574083,0.574083,0.574083,0.5606337463781353,0.5526017055354054,,,391472,0.0,-11403916,-11403916,-11795388,-11795388,-6259729.625,191210.0669635016,191210.0669635016,,,
1973-02-05 09:30:00-05:00,0.564823,0.564823,0.564823,0.564823,0.5615646916274386,0.5543476047446332,,,94472,0.0,-11795388,-11795388,-11889860,-11889860,-6430339.636363637,150080.63121716172,150080.63121716172,,,
1973-02-06 09:30:00-05:00,0.564823,0.564823,0.564823,0.564823,0.5622887601546744,0.5558440897811141,,,70172,0.0,-11889860,-11889860,-11960032,-11960032,-6592977.647058823,117967.28005879693,117967.28005879693,280624.31868020043,,
